feature,type
allgemeinheit,people
arbeiter,people
arbeiterin,people
arbeitende,people
arbeitnehmer,people
arbeitnehmerin,people
arbeiterschaft,people
arbeitskraft,people
arbeitskräfte,people
angestellte,people
angestellter,people
benutzer,people
basisdemokratie,people
beschäftigte,people
beschäftigter,people
bevölkerung,people
bewohner,people
bewohner,people
bundesbürger,
bürger,people
bürgerin,people
bürgerschaft,people
bürgertum,people
demokratie,people
deutsch,attr_ger
deutsche,people
deutsche,attr_ger
deutschen,people
deutschland_people
deutschlands,attr_ger
durchschnitteinkommen,people
durchschnittseinkommen,people
durchschnittverdiener,people
durchschnittsverdiener,people
eltern, people
eigen,attr_ger
einfach,attr_ordinary
einheimisch,attr_ger
einheimische,attr_ger
einwohner,people
erwachsene,people
eubürger,people
europäer,people
familie, people
familienleben, people
frau,people
frauen,people
gemeinschaft,people
gemeinwesen,people
gemeinwohl,people
gesamtbevölkerung,people
gesamtgesellschaft,people
gesellschaft,people
gesellschaftsordnung,people
grundordnung,people
klein,attr_ordinary
konsument,people
kunde,people
landsfrau,people
landsleute,people
landsmann,people
leute,people
mann,people
mensch,people
menschen,people
menschenverstand,people
mieter,people
mitbürger,people
mitmensch,people
mittelstand,people
mutter,people
mütter,people
nation,people_ger
normal,attr_ordinary
normalbürger,people
normalbürgerin,people
ottonormalverbraucher,people
ottonormalverbraucherin,people
personal,people
republik,people_ger
solidargemeinschaft,people
souverän,people
souveräns,people
sparer,people
staatsbürger,people
staatsbürgerin,people
staatsvolk,people
steuerbürger,people
steuerpflichtige,people
steuerzahler,people
steuerzahlerin,people
steuerzahlende,people
steuerzahlenden,people
unser,attr_ger
user,people
vater,people
väter,people
vaterland,people
verbraucher,people
verbraucherin,people
verbraucherinnen,people
volk,people
volksgenosse,people
volkskörper,people
volksstimme,people
wahlvolk,people
wähler,people
wählerin,people
wertegemeinschaft,people
weltgemeinschaft,people
zivilisation,people_ger
zivilist,people
zivilbevölkerung,people
zivilgesellschaft,people
öffentlichkeit,people
kunden,people
kinder,people
jugendliche,people
senioren,people
rentner,people
